,Date,User,Tweet
87,2023-03-04 23:59:59+00:00,bobrickert1,"@RamDestroyer55 @EdKrassen So you just say screw you to Americans and rob from the poor who’ve worked their whole lives. Just say you’re a fascist, it’s faster. Totally UnAmerican. A cowardly, selfish approach to life. Yours to choose though. Jesus would be sad for you."
88,2023-03-04 23:59:59+00:00,zsakb,@Aldanmarki Orientialism is a strong problem here and its mostly bc there are non-us brown yt streamers they kmow
89,2023-03-04 23:59:59+00:00,kylianctrl,the eye roll.. leader of the sassy men brigade
90,2023-03-04 23:59:59+00:00,_STUSH,If they gon steal just let ‘em lol. That mean LP ain’t doing their job.
91,2023-03-04 23:59:59+00:00,HustleandMotiv8,Conversations were had and I’ll leave it at that. Once again thank you to everyone who contacted me today. 💜
92,2023-03-04 23:59:59+00:00,rodneyiwnl,@itisnothenny Please proceed
93,2023-03-04 23:59:59+00:00,jht4x4,".@Thomas_dAquino congratulations, Tom on the publication of your book. Stephen Poloz , Bill Morneau and Jody Wilson-Raybould  are adding to the understanding of how this country really works, or does not…Your book is next on my list. Check out https://t.co/2HQzEKfCSV"
94,2023-03-04 23:59:59+00:00,DrayDrayW,@NateRubenChi I despise milk. Threw it in a smoothie real quick
95,2023-03-04 23:59:59+00:00,jesammo,"yes,too friendly sef"
96,2023-03-04 23:59:59+00:00,wutongwai,qmy seems okay so far
97,2023-03-04 23:59:59+00:00,nymphoebaby,I have never been so unhappy in my life like I am right now…the BPD is winning fr
98,2023-03-04 23:59:59+00:00,whirlpoollove,Like babe you said you could pick me up so eqsily at ~77 lbs why are you surprised ive relapsed on my disorder
99,2023-03-04 23:59:59+00:00,sherdildo,@antistetic most of trilogy ta gwn sex playlist 😭😭
100,2023-03-04 23:59:59+00:00,CatawbaKing,@SharpFootball No and no.
101,2023-03-04 23:59:59+00:00,LoriDTindall,"@erie_maiden @_Eric_Reinhart Not to mention those who have died that are not counted as COVID, and the countless (millions?) dealing with #LongCovid. 

➡️The question should be why are so few people masking when the data suggests you should if you value quality of life and life itself?!"
